ext_id,price,discounted_price,ontology
96972,179,149.61019874780925,Female>Health & Beauty>Body Scrub>Body>Body Scrubs
56378,69,38.521995575932628,Female>Health & Beauty>Make Up>Makeup>Foundation & Concealer
EV001,50,36.804651969697076,Unisex>Health & Beauty>Gift Ideas
55228,29.899999999999999,17.662923567858712,Female>Health & Beauty>Skincare>Face>Face Masks
95598,109,94.845826541546231,Female>Health & Beauty>Body Oil>Body>Spa & Body Treatments
97148,116,46.492197650495335,Unisex>Health & Beauty>Fragrance>Fragrance>Eau De Toilette
EV008,100,70.528726034209612,Unisex>Health & Beauty>Gift Ideas
EV004,50,40.505998364081577,Unisex>Health & Beauty>Gift Ideas
94142,189,151.11003533427964,Female>Health & Beauty>Fragrance>Fragrance>Eau De Parfum
10255,76,69.942640577280244,Female>Health & Beauty>Fragrance>Fragrance>Eau De Parfum
97368,109,63.659991276030581,Unisex>Health & Beauty>Bath & Body>Body Butter
98147,146,101.0874701342193,Unisex>Health & Beauty>Fragrance>Fragrance>Eau De Toilette
10505,38,22.213551738641574,Unisex>Health & Beauty>Bath & Body>Body Cleanser
EV011,100,57.514521958781351,Unisex>Health & Beauty>Gift Ideas
12456,38,20.086230109084919,Unisex>Health & Beauty>Bath & Body>Body Cleanser>Shower Cream
10304,119,47.690119530683546,Unisex>Health & Beauty>Make Up>Makeup>Foundation & Concealer
98116,145,94.226865369248586,Male>Health & Beauty>Fragrance>Eau De Toilette
17088,31,22.223401907394202,Female>Health & Beauty>Bath & Body>Body Cleanser>Shower Gel
86978,24,22.62140099432105,Female>Health & Beauty>Body>Hand Care
86849,70,47.055936789809728,Unisex>Health & Beauty>Face>Face Toners
96006,26.5,20.055898935372149,Female>Health & Beauty>Face>Accessories
94334,35,28.061142256648829,Female>Health & Beauty>Bath & Body>Deodorant
86957,52,24.022337686172907,Female>Health & Beauty>Makeup>Lip
83948,169,94.178411309678523,Female>Health & Beauty>Home Fragrance>Fragrance>Accessories
96709,14,12.546166858145144,Female>Health & Beauty>Shower Gel>Body>Seasonal Body Care
96810,14.5,5.8824384068526463,Female>Health & Beauty>Body Cleanser>Body>Body Cleansers
97770,209,186.44321161180454,Unisex>Health & Beauty>Bath & Body>Gift Ideas
98092,169,70.91566556275825,Male>Health & Beauty>Fragrance>Fragrance>Eau De Toilette
28885,34.5,29.142395165761517,Female>Health & Beauty>Makeup>Nails
94700,61,27.488934043875503,Female>Health & Beauty>Nail Tools>Body>Targeted Treatments
97735,46,42.810990361602812,Unisex>Health & Beauty>Shampoo>Body>Shampoo
88241,32,14.767335537876242,Female>Health & Beauty>Fragrance>Accessories
10501,99,44.701593717310061,Unisex>Health & Beauty>Body Mist>Fragrance>Body Mists
91548,70,31.283924209337556,Female>Health & Beauty>Refreshing>Face>Moisturisers
86891,89,70.763536493300592,Female>Health & Beauty>Serum
97452,99,63.512837720885734,Female>Health & Beauty>Skincare>Face>Moisturisers
87541,89,40.991209751645989,Unisex>Health & Beauty>Body Mist>Body>Accessories
13817,139,129.780992354738,Unisex>Health & Beauty>Bath & Body>Body Butter>Gift Ideas
88346,89,73.012169161256125,Female>Health & Beauty>Makeup>Brushes And Tools
88344,99,57.535508479051359,Female>Health & Beauty>Makeup>Brushes And Tools
98054,64,31.592005513737512,Unisex>Health & Beauty>Body Mist>Fragrance
EV015,200,139.45503983632986,Unisex>Health & Beauty>Gift Ideas
86926,25,19.308080143153006,Female>Health & Beauty>Hand Cream>Body>Hand Care
83805,89,75.965781776158522,Female>Health & Beauty>Body Mist>Body>Hair Treatment & Styling
